name	count	identityA	identityB	indentityC	indentityBC	interface_identity_AB	interface_identity_BA	interface_identity_AC	interface_identity_CA	interface_identity_BC	noninterface_identity_AB	noninterface_identity_BC	noninterface_identity_AC	noninterface_identity_CA	noninterface_identity_BC	evolved_interaction_AB	evolved_interaction_AB_recalc	evolved_interaction_AC	evolved_interaction_AC_recal	ancestral_interaction_AB	ancestral_interaction_BA	ancestral_interaction_AC	ancestral_interaction_CA	stabilityA	stabilityB	stabilityC
2_A	0	0.993506493506	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.992700729927	1.0	0.992700729927	1.0	1.0	-10.9985457662	-10.9985457662	-10.9985457662	-10.9284520473	-10.9284520473	-10.9985457662	-10.9985457662	-10.9985457662	-139.424539743	-61.2618750097	-61.2618750097
148_A	10	0.935064935065	0.986301369863	1.0	0.986301369863	1.0	1.0	1.0	1.0	1.0	0.92700729927	0.979591836735	0.92700729927	1.0	0.979591836735	-11.0230195525	-11.0230176996	-10.8092921486	-11.023018869	-10.9529251501	-10.9985445968	-11.023018869	-10.9985457662	-140.993926147	-61.6585362374	-61.2618750097
105_A	20	0.883116883117	0.972602739726	1.0	0.972602739726	0.894736842105	0.96	0.941176470588	1.0	0.96	0.881481481481	0.979166666667	0.875912408759	1.0	0.979166666667	-11.656274847	-11.7265481938	-11.836548719	-11.7666361842	-11.7666361842	-10.8591187648	-11.8367326056	-10.9985457662	-141.496997501	-59.4159276274	-61.2618750097
92_A	30	0.831168831169	0.958904109589	1.0	0.958904109589	0.894736842105	0.96	0.941176470588	1.0	0.96	0.822222222222	0.958333333333	0.817518248175	1.0	0.958333333333	-11.7263685659	-11.7265481938	-11.8365460175	-11.7666361843	-11.7666388867	-10.8591187648	-11.8367326056	-10.9284520473	-141.256819728	-57.2360075751	-61.2618750097
31_A	40	0.792207792208	0.958904109589	0.986301369863	0.945205479452	0.894736842105	0.958333333333	0.941176470588	1.0	0.958333333333	0.777777777778	0.938775510204	0.773722627737	0.979591836735	0.938775510204	-11.8238734406	-11.6695109233	-11.8282393946	-11.8284560544	-11.7583623354	-10.8591187648	-11.8284560544	-10.9985457662	-139.720620157	-57.2360075751	-60.653413765
22_A	50	0.74025974026	0.958904109589	0.986301369863	0.945205479452	0.789473684211	0.958333333333	0.823529411765	1.0	0.958333333333	0.733333333333	0.938775510204	0.729927007299	0.979591836735	0.938775510204	-11.7368106109	-11.7369506848	-11.8957403055	-11.8958958159	-11.825802097	-10.6453901915	-11.8958958159	-10.9985457662	-141.432512876	-57.2360075751	-60.653413765
139_A	60	0.701298701299	0.945205479452	0.986301369863	0.931506849315	0.736842105263	0.958333333333	0.823529411765	1.0	0.958333333333	0.696296296296	0.918367346939	0.686131386861	0.979591836735	0.918367346939	-11.9349530685	-11.9351094391	-11.9393190225	-11.9394796508	-11.9394796508	-10.8591187648	-11.8693859319	-10.9284520473	-140.205191498	-57.378786543	-60.653413765
55_A	70	0.681818181818	0.931506849315	0.972602739726	0.904109589041	0.75	0.916666666667	0.823529411765	1.0	0.916666666667	0.671641791045	0.897959183673	0.664233576642	0.959183673469	0.897959183673	-11.1119211881	-11.250771877	-11.9551256742	-11.8851886656	-11.9552823845	-10.1828613003	-11.9552823845	-10.7848171929	-139.619146802	-57.829048983	-58.8845017962
64_A	80	0.655844155844	0.917808219178	0.972602739726	0.890410958904	0.7	0.916666666667	0.764705882353	1.0	0.916666666667	0.649253731343	0.877551020408	0.642335766423	0.959183673469	0.877551020408	-10.2663916832	-10.2657866322	-10.9406562166	-10.9400554288	-10.9400554288	-10.0441325617	-10.8699617099	-10.9985457662	-140.29772297	-57.7270631571	-58.8845017962
61_A	90	0.636363636364	0.904109589041	0.972602739726	0.876712328767	0.7	0.875	0.764705882353	1.0	0.875	0.626865671642	0.877551020408	0.620437956204	0.959183673469	0.877551020408	-10.2663929101	-10.2657878582	-10.9406574436	-10.9400566548	-10.8699629358	-10.0441325617	-10.9400566548	-10.9284520473	-139.665059097	-57.6093258696	-58.8845017962
36_A	100	0.61038961039	0.904109589041	0.972602739726	0.876712328767	0.65	0.875	0.764705882353	1.0	0.875	0.60447761194	0.877551020408	0.591240875912	0.959183673469	0.877551020408	-10.2679396469	-10.2672987403	-11.0542976245	-11.053660981	-10.9835672621	-10.1828542125	-11.053660981	-10.9284520473	-139.462702107	-57.6093258696	-58.8845017962
12_A	110	0.597402597403	0.904109589041	0.958904109589	0.876712328767	0.65	0.875	0.764705882353	0.958333333333	0.875	0.589552238806	0.877551020408	0.576642335766	0.959183673469	0.877551020408	-10.1112226368	-10.2492918052	-11.0398043782	-10.9690754402	-11.035654046	-10.1828542125	-10.965560327	-10.9464917718	-138.039737405	-57.6093258696	-59.6309008309
28_A	120	0.597402597403	0.904109589041	0.958904109589	0.876712328767	0.65	0.88	0.764705882353	0.96	0.88	0.589552238806	0.875	0.576642335766	0.958333333333	0.875	-9.89052543314	-10.0285592784	-10.8006824878	-10.7299438748	-10.7965224806	-10.1828542125	-10.7965224806	-10.9464917718	-137.371060717	-57.6093258696	-59.6309008309
102_A	130	0.584415584416	0.876712328767	0.958904109589	0.849315068493	0.65	0.84	0.764705882353	0.96	0.84	0.574626865672	0.854166666667	0.56204379562	0.958333333333	0.854166666667	-10.0369731499	-9.97555154389	-10.7418087805	-10.741146534	-10.7376314209	-10.122046321	-10.8077251398	-11.0165854907	-140.232326277	-58.946488934	-59.6309008309
