name	count	identityA	identityB	indentityC	indentityBC	interface_identity_AB	interface_identity_BA	interface_identity_AC	interface_identity_CA	interface_identity_BC	noninterface_identity_AB	noninterface_identity_BC	noninterface_identity_AC	noninterface_identity_CA	noninterface_identity_BC	evolved_interaction_AB	evolved_interaction_AB_recalc	evolved_interaction_AC	evolved_interaction_AC_recal	ancestral_interaction_AB	ancestral_interaction_BA	ancestral_interaction_AC	ancestral_interaction_CA	stabilityA	stabilityB	stabilityC
191_B	0	1.0	0.986301369863	NA	NA	1.0	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	-10.9985457662	-10.9985457662	NA	NA	-10.9985457662	-10.7848171929	NA	NA	-139.249822214	-61.4305914311	NA
226_B	10	0.954545454545	0.945205479452	NA	NA	1.0	0.958333333333	NA	NA	NA	0.948905109489	NA	NA	NA	NA	-11.6304472293	-11.5609259333	NA	NA	-10.7411712865	-11.5344781208	NA	NA	-139.321110205	-63.4288054059	NA
109_A	20	0.915584415584	0.904109589041	NA	NA	0.941176470588	0.916666666667	NA	NA	NA	0.912408759124	NA	NA	NA	NA	-10.7804257394	-10.781025945	NA	NA	-9.93373587218	-11.7757719441	NA	NA	-138.436751436	-60.7895149925	NA
170_B	30	0.883116883117	0.86301369863	NA	NA	0.941176470588	0.916666666667	NA	NA	NA	0.875912408759	NA	NA	NA	NA	-10.8083418866	-10.8089522402	NA	NA	-9.78390957406	-11.7757719441	NA	NA	-136.317661409	-63.3817658893	NA
10_A	40	0.850649350649	0.821917808219	NA	NA	0.882352941176	0.869565217391	NA	NA	NA	0.846715328467	NA	NA	NA	NA	-10.7543608234	-10.7548017333	NA	NA	-10.0469005875	-11.7060252664	NA	NA	-136.495966761	-63.1780213444	NA
8_A	50	0.811688311688	0.794520547945	NA	NA	0.882352941176	0.782608695652	NA	NA	NA	0.802919708029	NA	NA	NA	NA	-7.35318468011	-7.356337009	NA	NA	-9.96123729483	-8.272440247	NA	NA	-138.638579509	-63.9944434927	NA
10_A	60	0.772727272727	0.753424657534	NA	NA	0.882352941176	0.782608695652	NA	NA	NA	0.759124087591	NA	NA	NA	NA	-7.94232242485	-7.94280316338	NA	NA	-7.98753743957	-8.27244024701	NA	NA	-142.524936062	-62.5359250829	NA
1_A	70	0.733766233766	0.753424657534	NA	NA	0.823529411765	0.772727272727	NA	NA	NA	0.722627737226	NA	NA	NA	NA	-6.84866424321	-6.84929327578	NA	NA	-6.91629169057	-8.27244024701	NA	NA	-140.574726819	-61.2275111359	NA
35_A	80	0.720779220779	0.739726027397	NA	NA	0.823529411765	0.727272727273	NA	NA	NA	0.70802919708	NA	NA	NA	NA	-6.70642980453	-6.70975958374	NA	NA	-6.86128815556	-8.21533974844	NA	NA	-142.889089318	-62.4222325197	NA
68_A	90	0.707792207792	0.712328767123	NA	NA	0.764705882353	0.7	NA	NA	NA	0.700729927007	NA	NA	NA	NA	-1.96972919684	-2.32739040885	NA	NA	-2.71268904404	-8.2341902785	NA	NA	-139.218047883	-63.8527188472	NA
1_A	100	0.688311688312	0.671232876712	NA	NA	0.764705882353	0.7	NA	NA	NA	0.678832116788	NA	NA	NA	NA	-2.52617098421	-2.53084602767	NA	NA	-2.71268903488	-8.44418873385	NA	NA	-140.585518529	-61.035906408	NA
34_A	110	0.662337662338	0.657534246575	NA	NA	0.764705882353	0.65	NA	NA	NA	0.649635036496	NA	NA	NA	NA	-2.52617098421	-2.53084617359	NA	NA	-2.25405946148	-8.44418873385	NA	NA	-142.756963224	-61.7172907001	NA
182_B	120	0.642857142857	0.643835616438	NA	NA	0.764705882353	0.65	NA	NA	NA	0.627737226277	NA	NA	NA	NA	-2.5261709842	-2.53084617359	NA	NA	-2.59754236122	-8.44418873384	NA	NA	-141.195778376	-58.5953494681	NA
93_A	130	0.616883116883	0.630136986301	NA	NA	0.764705882353	0.65	NA	NA	NA	0.598540145985	NA	NA	NA	NA	-2.58203794619	-2.58686179911	NA	NA	-1.69052671395	-8.44397488887	NA	NA	-137.690883201	-59.8528320136	NA
74_A	140	0.590909090909	0.630136986301	NA	NA	0.764705882353	0.65	NA	NA	NA	0.569343065693	NA	NA	NA	NA	-2.59489765594	-2.599718512	NA	NA	-1.73379628121	-8.44397488887	NA	NA	-140.500980551	-59.0830435263	NA
2_A	150	0.584415584416	0.616438356164	NA	NA	0.764705882353	0.666666666667	NA	NA	NA	0.56204379562	NA	NA	NA	NA	-2.58320693347	-2.58743708949	NA	NA	-2.23132165979	-8.44397488886	NA	NA	-139.409026835	-59.2496446678	NA
144_A	160	0.564935064935	0.616438356164	NA	NA	0.722222222222	0.666666666667	NA	NA	NA	0.544117647059	NA	NA	NA	NA	-2.72389541193	-2.7280600074	NA	NA	-2.16122794087	-8.61482533786	NA	NA	-139.453869407	-60.0305763393	NA
96_A	170	0.551948051948	0.602739726027	NA	NA	0.666666666667	0.666666666667	NA	NA	NA	0.536764705882	NA	NA	NA	NA	-2.61925205093	-2.62436730536	NA	NA	-2.05753523883	-8.61482416845	NA	NA	-138.218657495	-60.4802961564	NA
99_A	180	0.551948051948	0.58904109589	NA	NA	0.666666666667	0.666666666667	NA	NA	NA	0.536764705882	NA	NA	NA	NA	-2.61925205093	-2.62436730536	NA	NA	-2.05753523882	-8.61482416845	NA	NA	-141.384997043	-60.3762252872	NA
102_A	190	0.538961038961	0.561643835616	NA	NA	0.631578947368	0.619047619048	NA	NA	NA	0.525925925926	NA	NA	NA	NA	-2.33234656553	-2.34010136984	NA	NA	-2.69681429498	-8.39335929847	NA	NA	-141.572965902	-59.8733797618	NA
148_A	200	0.519480519481	0.547945205479	NA	NA	0.578947368421	0.571428571429	NA	NA	NA	0.511111111111	NA	NA	NA	NA	-3.40762289513	-3.413879557	NA	NA	-3.53174917987	-8.46609286577	NA	NA	-138.719767872	-60.7535998019	NA
9_A	210	0.512987012987	0.520547945205	NA	NA	0.6	0.52380952381	NA	NA	NA	0.5	NA	NA	NA	NA	-3.20361883024	-3.21183251323	NA	NA	-2.82972128606	-8.4400066166	NA	NA	-136.446710691	-63.2923843043	NA
83_A	220	0.512987012987	0.493150684932	NA	NA	0.65	0.52380952381	NA	NA	NA	0.492537313433	NA	NA	NA	NA	-3.26716642864	-3.27428213794	NA	NA	-2.89240723115	-8.44025249925	NA	NA	-137.423458539	-62.3767223204	NA
47_A	230	0.5	0.479452054795	NA	NA	0.65	0.47619047619	NA	NA	NA	0.477611940299	NA	NA	NA	NA	-3.13986536666	-3.08115597489	NA	NA	-2.82230129164	-8.2364359945	NA	NA	-140.194770832	-62.8536549024	NA
17_A	240	0.474025974026	0.465753424658	NA	NA	0.578947368421	0.478260869565	NA	NA	NA	0.459259259259	NA	NA	NA	NA	-4.40836974472	-4.69613080081	NA	NA	-5.74325732513	-6.11660298959	NA	NA	-138.13190623	-61.1048478575	NA
183_B	250	0.467532467532	0.424657534247	NA	NA	0.578947368421	0.434782608696	NA	NA	NA	0.451851851852	NA	NA	NA	NA	-4.4549664086	-4.45609728261	NA	NA	-5.69091567247	-5.98743762942	NA	NA	-136.881205243	-62.9948470412	NA
65_A	260	0.448051948052	0.41095890411	NA	NA	0.555555555556	0.434782608696	NA	NA	NA	0.433823529412	NA	NA	NA	NA	-4.26889851533	-4.41552197663	NA	NA	-5.49391539192	-6.00379866417	NA	NA	-136.913198162	-65.07140502	NA
219_B	270	0.448051948052	0.369863013699	NA	NA	0.555555555556	0.391304347826	NA	NA	NA	0.433823529412	NA	NA	NA	NA	-3.91887065558	-3.92437985555	NA	NA	-5.79416664255	-5.50799368176	NA	NA	-137.329194075	-61.3200118023	NA
28_A	280	0.435064935065	0.342465753425	NA	NA	0.555555555556	0.347826086957	NA	NA	NA	0.419117647059	NA	NA	NA	NA	-3.90667339561	-3.91217906502	NA	NA	-5.72407292363	-5.50567306762	NA	NA	-137.977846454	-59.1473543969	NA
9_A	290	0.441558441558	0.342465753425	NA	NA	0.555555555556	0.32	NA	NA	NA	0.426470588235	NA	NA	NA	NA	-3.19310057439	-3.19425455117	NA	NA	-3.50430060704	-5.50567306762	NA	NA	-139.825773939	-61.5514842884	NA
100_A	300	0.448051948052	0.342465753425	NA	NA	0.555555555556	0.32	NA	NA	NA	0.433823529412	NA	NA	NA	NA	-3.20114771173	-3.2022528947	NA	NA	-3.50190189789	-5.50567306762	NA	NA	-138.738125194	-60.5956156876	NA
27_A	310	0.441558441558	0.328767123288	NA	NA	0.5	0.269230769231	NA	NA	NA	0.433823529412	NA	NA	NA	NA	-2.60652459857	-2.60760285019	NA	NA	-4.86858034061	-5.18039104603	NA	NA	-136.176500519	-60.8198546004	NA
104_A	320	0.454545454545	0.328767123288	NA	NA	0.5	0.269230769231	NA	NA	NA	0.448529411765	NA	NA	NA	NA	-2.57182764863	-2.57290099366	NA	NA	-4.90397220299	-5.27735351081	NA	NA	-139.862535642	-59.6009241538	NA
103_A	330	0.441558441558	0.342465753425	NA	NA	0.470588235294	0.269230769231	NA	NA	NA	0.43795620438	NA	NA	NA	NA	-2.60510635686	-2.60613842618	NA	NA	-4.90397220299	-5.97908411814	NA	NA	-138.846745368	-60.2400626457	NA
157_B	340	0.435064935065	0.315068493151	NA	NA	0.470588235294	0.307692307692	NA	NA	NA	0.430656934307	NA	NA	NA	NA	-2.65207829854	-2.60459677155	NA	NA	-4.90243184949	-5.93091095905	NA	NA	-136.107295882	-60.2482814243	NA
147_A	350	0.435064935065	0.315068493151	NA	NA	0.470588235294	0.307692307692	NA	NA	NA	0.430656934307	NA	NA	NA	NA	-2.60357139504	-2.60459778798	NA	NA	-4.90243178541	-5.88242972666	NA	NA	-137.390630861	-61.8944158408	NA
155_B	360	0.435064935065	0.301369863014	NA	NA	0.470588235294	0.307692307692	NA	NA	NA	0.430656934307	NA	NA	NA	NA	-1.67101913246	-1.67285078418	NA	NA	-4.83233682943	-4.8093298741	NA	NA	-137.297919487	-61.6062734073	NA
178_B	370	0.422077922078	0.301369863014	NA	NA	0.470588235294	0.307692307692	NA	NA	NA	0.416058394161	NA	NA	NA	NA	-1.71495667685	-1.6486583291	NA	NA	-4.54176047944	-4.78278499169	NA	NA	-135.94441026	-60.4560153042	NA
101_A	380	0.415584415584	0.301369863014	NA	NA	0.470588235294	0.307692307692	NA	NA	NA	0.408759124088	NA	NA	NA	NA	-1.59746488894	-1.60017585965	NA	NA	-4.61185419835	-4.78278499169	NA	NA	-137.279987755	-60.4560153042	NA
116_A	390	0.409090909091	0.315068493151	NA	NA	0.411764705882	0.296296296296	NA	NA	NA	0.408759124088	NA	NA	NA	NA	-1.6497856069	-1.36427974555	NA	NA	-4.71444288735	-4.80427525098	NA	NA	-140.013034994	-62.0215590589	NA
111_A	400	0.409090909091	0.315068493151	NA	NA	0.411764705882	0.296296296296	NA	NA	NA	0.408759124088	NA	NA	NA	NA	-1.30189955462	-1.30386373544	NA	NA	-4.46047231542	-4.78706504649	NA	NA	-141.060583568	-62.1199611532	NA
167_B	410	0.38961038961	0.301369863014	NA	NA	0.411764705882	0.259259259259	NA	NA	NA	0.386861313869	NA	NA	NA	NA	0.855850159496	0.934408194993	NA	NA	-4.48918149962	3.45600235422	NA	NA	-139.840949495	-62.8184423514	NA
73_A	420	0.383116883117	0.315068493151	NA	NA	0.444444444444	0.296296296296	NA	NA	NA	0.375	NA	NA	NA	NA	1.42568698348	1.45603220262	NA	NA	-4.4190877807	3.97250287326	NA	NA	-139.712541986	-64.1088383969	NA
130_A	430	0.376623376623	0.315068493151	NA	NA	0.444444444444	0.296296296296	NA	NA	NA	0.367647058824	NA	NA	NA	NA	1.84503657426	1.82730087943	NA	NA	-4.46237902449	4.00757547976	NA	NA	-138.658608258	-63.4788957937	NA
141_A	440	0.363636363636	0.328767123288	NA	NA	0.444444444444	0.307692307692	NA	NA	NA	0.352941176471	NA	NA	NA	NA	1.86388814882	1.84637219664	NA	NA	-4.35031833811	3.95909424737	NA	NA	-138.714352468	-62.8117094682	NA
4_A	450	0.363636363636	0.301369863014	NA	NA	0.444444444444	0.307692307692	NA	NA	NA	0.352941176471	NA	NA	NA	NA	1.7921667334	1.82332953739	NA	NA	-4.35031833811	3.88752186236	NA	NA	-138.030699356	-60.6948095472	NA
124_A	460	0.350649350649	0.301369863014	NA	NA	0.388888888889	0.307692307692	NA	NA	NA	0.345588235294	NA	NA	NA	NA	-4.08233538349	-4.08199927934	NA	NA	-4.26239732956	-2.73080808688	NA	NA	-137.56879483	-59.3563380017	NA
152_A	470	0.337662337662	0.287671232877	NA	NA	0.388888888889	0.307692307692	NA	NA	NA	0.330882352941	NA	NA	NA	NA	-4.29201962568	-4.29179426688	NA	NA	-4.28555764449	-2.73084279489	NA	NA	-139.569213685	-58.8331114339	NA
187_B	480	0.324675324675	0.287671232877	NA	NA	0.388888888889	0.307692307692	NA	NA	NA	0.316176470588	NA	NA	NA	NA	-4.36103140018	-4.3607994465	NA	NA	-4.35565136341	-2.73084279488	NA	NA	-139.412771528	-58.4440229555	NA
34_A	490	0.331168831169	0.27397260274	NA	NA	0.444444444444	0.269230769231	NA	NA	NA	0.316176470588	NA	NA	NA	NA	-4.3197552664	-4.32048715221	NA	NA	-4.34089159705	-2.73079636883	NA	NA	-137.006526553	-59.1906002874	NA
116_A	500	0.331168831169	0.287671232877	NA	NA	0.5	0.291666666667	NA	NA	NA	0.308823529412	NA	NA	NA	NA	-2.47637190042	-2.4768743088	NA	NA	-7.9615418882	-2.73079636882	NA	NA	-139.365892793	-59.1049368516	NA
87_A	510	0.344155844156	0.287671232877	NA	NA	0.5	0.291666666667	NA	NA	NA	0.323529411765	NA	NA	NA	NA	-3.01734754369	-3.46672655719	NA	NA	-7.95768247429	-3.17252371539	NA	NA	-138.222904922	-62.1808344024	NA
